,Theta,Height,Pressure,Density
164,200.0,6431.372549019608,26732.043472258556,0.6789305697885432
165,200.0,6470.588235294118,26471.764402452725,0.6742022090185397
166,200.0,6509.803921568628,26213.300549690262,0.6694936616120049
167,200.0,6549.019607843138,25956.644296991926,0.6648048998166346
168,200.0,6588.235294117648,25701.788038062463,0.6601358958411435
169,200.0,6627.450980392157,25448.7241773056,0.6554866218550994
170,200.0,6666.666666666667,25197.44512983917,0.6508570499887586
171,200.0,6705.882352941177,24947.94332151024,0.646247152332898
172,200.0,6745.098039215687,24700.211188910358,0.6416569009386474
173,200.0,6784.313725490197,24454.241179390832,0.6370862678173195
174,200.0,6823.529411764706,24210.025751078054,0.6325352249402397
175,200.0,6862.745098039216,23967.557372888954,0.6280037442385743
176,200.0,6901.9607843137255,23726.828524546458,0.6234917976031566
177,200.0,6941.176470588236,23487.83169659504,0.6189993568843135
